date_ordered,time_ordered,order_id,user_id,type,product_category
1,1,7026578,12026081,Credit Package Purchase,1
1,1,7026584,12026081,Auction Win,1
1,1,7026635,12026132,Credit Package Purchase,1
1,1,7026662,12026237,Credit Package Purchase,1
1,1,7026677,12026237,Auction Win,1
1,1,7026686,12026264,Credit Package Purchase,1
1,1,7026695,12026264,Auction Win,1
1,1,7026698,12026273,Credit Package Purchase,1
1,1,7026701,12026273,Auction Win,1
1,1,7026740,12026273,Auction Win,1
1,1,7026743,12026273,Auction Win,1
1,1,7026755,12026351,Credit Package Purchase,1
1,1,7026758,12026351,Auction Win,1
1,1,7026761,12026348,Credit Package Purchase,1
1,1,7026764,12026381,Credit Package Purchase,1
1,1,7026776,12026426,Credit Package Purchase,1
1,1,7026782,12026489,Credit Package Purchase,1
1,1,7026791,12026555,Credit Package Purchase,1
1,1,7026812,12026636,Credit Package Purchase,1
1,1,7026818,12026555,Auction Win,1
1,1,7026824,12026381,Auction Win,1
1,1,7026827,12026555,Auction Win,1
1,1,7026833,12026555,Auction Win,1
1,1,7026836,12026693,Credit Package Purchase,1
1,1,7026839,12026708,Credit Package Purchase,1
1,1,7026842,12026132,Auction Win,1
1,1,7026845,12026693,Auction Win,1
1,1,7026851,12026555,Credit Package Purchase,1
1,1,7026860,12026753,Credit Package Purchase,1
1,1,7026866,12026807,Credit Package Purchase,1
1,1,7026890,12026081,Credit Package Purchase,1
1,1,7026905,12026555,Credit Package Purchase,1
1,1,7026911,12026879,Credit Package Purchase,1
1,1,7026923,12026189,Credit Package Purchase,1
1,1,7026929,12026885,Credit Package Purchase,1
1,1,7026935,12026879,Auction Win,1
1,1,7026938,12026864,Credit Package Purchase,1
1,1,7026947,12026555,Credit Package Purchase,1
1,1,7026950,12026555,Credit Package Purchase,1
1,1,7026956,12026924,Credit Package Purchase,1
1,1,7026959,12026081,Credit Package Purchase,1
1,1,7026962,12026942,Credit Package Purchase,1
1,1,7026974,12026951,Credit Package Purchase,1
1,1,7026980,12026951,Auction Win,1
1,1,7026986,12026879,Auction Win,1
1,1,7026992,12026555,Credit Package Purchase,1
1,1,7026995,12026942,Auction Win,1
1,1,7027001,12027005,Credit Package Purchase,1
1,1,7027004,12026555,Auction Win,1
1,1,7027010,12026987,Credit Package Purchase,1
1,1,7027013,12027029,Credit Package Purchase,1
1,1,7027025,12027080,Credit Package Purchase,1
1,1,7027028,12026081,Credit Package Purchase,1
1,1,7027034,12026885,Auction Win,1
1,1,7027052,12027170,Credit Package Purchase,1
