date_registration,time_registration,user_id,user_state_info,notify_pref,user_channel
1,0:00:35,12026036,Active,3,1
1,0:01:23,12026039,Active,3,2
1,0:02:35,12026042,Active,3,3
1,0:04:24,12026045,Unconfirmed,3,1
1,0:04:30,12026048,Unconfirmed,3,3
1,0:06:10,12026051,Active,3,3
1,0:08:20,12026057,Active,3,1
1,0:09:32,12026060,Active,3,3
1,0:10:23,12026063,Active,3,4
1,0:11:10,12026066,Active,3,1
1,0:16:50,12026072,Active,3,4
1,0:18:09,12026075,Active,3,2
1,0:18:57,12026078,Unconfirmed,3,3
1,0:19:05,12026081,Active,0,3
1,0:19:21,12026084,Active,3,3
1,0:19:55,12026087,Unconfirmed,3,1
1,0:20:45,12026090,Unconfirmed,3,1
1,0:25:49,12026099,Active,3,3
1,0:27:12,12026102,Unconfirmed,3,1
1,0:28:45,12026108,Active,3,1
1,0:37:18,12026120,Active,3,1
1,0:38:27,12026123,Unconfirmed,3,1
1,0:39:04,12026126,Active,3,3
1,0:46:58,12026129,Unconfirmed,3,1
1,0:48:05,12026132,Active,3,3
1,0:49:32,12026135,Unconfirmed,3,3
1,0:52:13,12026138,Unconfirmed,3,1
1,0:55:03,12026150,Active,3,3
1,0:57:39,12026153,Unconfirmed,3,3
1,1:05:06,12026159,Unconfirmed,3,2
1,1:06:19,12026162,Active,3,2
1,1:09:59,12026165,Active,3,3
1,1:12:04,12026168,Active,3,3
1,1:12:42,12026171,Unconfirmed,3,1
1,1:13:41,12026174,Unconfirmed,3,1
1,1:17:57,12026180,Active,3,2
1,1:21:12,12026183,Unconfirmed,3,5
1,1:38:56,12026189,Active,3,5
1,1:39:43,12026192,Unconfirmed,3,3
1,1:40:59,12026195,Active,3,2
1,1:47:37,12026198,Active,3,3
1,1:52:42,12026204,Active,3,3
1,1:58:38,12026207,Active,3,3
1,2:00:10,12026210,Active,3,1
1,2:01:55,12026213,Active,3,1
1,2:06:14,12026216,Unconfirmed,3,3
1,2:08:40,12026219,Unconfirmed,3,3
1,2:32:14,12026228,Active,3,3
1,2:56:24,12026237,Active,2,3
1,3:07:06,12026243,Active,3,1
1,3:18:48,12026249,Active,3,1
1,3:24:04,12026255,Active,3,6
1,3:30:58,12026261,Active,3,3
1,3:31:49,12026264,Active,0,3
1,3:43:26,12026267,Active,3,3
1,3:48:41,12026270,Active,3,3
1,4:11:25,12026273,Active,3,4
1,4:26:55,12026276,Active,3,3
1,4:40:02,12026279,Unconfirmed,3,3
1,5:01:18,12026282,Unconfirmed,3,1
1,5:11:54,12026288,Unconfirmed,3,1
1,5:25:06,12026291,Active,3,3
1,5:29:26,12026294,Active,3,3
1,5:55:29,12026303,Unconfirmed,3,3
1,6:07:20,12026312,Active,3,3
1,6:22:26,12026327,Unconfirmed,3,1
1,6:22:41,12026330,Active,3,3
1,6:32:32,12026333,Active,3,3
1,6:40:00,12026336,Active,3,4
1,6:48:37,12026339,Active,3,3
1,6:53:16,12026348,Active,1,3
1,6:53:19,12026351,Active,3,4
1,6:54:51,12026357,Active,3,1
1,7:05:08,12026366,Unconfirmed,3,3
1,7:06:02,12026369,Active,3,3
1,7:06:46,12026372,Unconfirmed,3,5
1,7:08:27,12026378,Active,3,3
1,7:11:30,12026381,Active,3,3
1,7:12:23,12026384,Active,3,3
1,7:21:13,12026399,Active,3,5
1,7:39:02,12026423,Unconfirmed,3,3
1,7:41:20,12026426,Active,3,3
1,7:41:33,12026429,Unconfirmed,3,3
1,7:44:18,12026435,Active,3,1
1,7:50:08,12026441,Active,3,3
1,7:51:05,12026444,Active,3,5
1,7:51:43,12026447,Active,3,3
1,7:54:51,12026456,Active,3,2
1,7:55:00,12026459,Unconfirmed,3,3
1,7:55:57,12026462,Active,3,4
1,8:04:36,12026486,Unconfirmed,3,1
1,8:05:19,12026489,Active,3,7
1,8:10:06,12026495,Active,3,4
1,8:10:06,12026498,Active,3,3
1,8:10:53,12026501,Active,3,3
1,8:22:54,12026516,Active,3,7
1,8:26:05,12026528,Active,3,6
1,8:30:21,12026546,Active,3,4
1,8:31:43,12026555,Active,3,3
1,8:32:07,12026558,Active,3,3
1,8:32:15,12026561,Active,3,5
1,8:32:43,12026564,Active,3,7
1,8:36:10,12026573,Active,3,5
1,8:36:17,12026576,Unconfirmed,3,2
1,8:44:51,12026588,Active,3,3
1,8:46:11,12026594,Unconfirmed,3,1
1,8:47:37,12026597,Unconfirmed,3,3
1,8:48:10,12026603,Active,3,3
1,8:54:04,12026609,Active,3,1
1,8:57:01,12026627,Active,3,1
1,8:59:40,12026636,Active,3,2
1,9:05:25,12026648,Active,3,3
1,9:06:48,12026651,Active,3,3
1,9:12:08,12026663,Active,3,3
1,9:13:14,12026669,Unconfirmed,3,1
1,9:13:49,12026672,Unconfirmed,3,3
1,9:16:26,12026681,Active,3,3
1,9:20:11,12026693,Active,3,6
1,9:21:10,12026699,Active,3,4
1,9:21:59,12026702,Active,3,4
1,9:23:37,12026705,Active,3,1
1,9:23:38,12026708,Active,0,3
1,9:27:01,12026726,Active,3,1
1,9:28:39,12026729,Active,3,2
1,9:34:12,12026735,Active,3,1
1,9:34:14,12026738,Active,3,7
1,9:36:17,12026741,Active,3,1
1,9:37:06,12026750,Active,3,7
1,9:37:23,12026753,Active,3,3
1,9:39:23,12026762,Active,3,4
1,9:40:50,12026768,Active,3,3
1,9:45:06,12026786,Active,3,1
1,9:45:28,12026789,Active,3,3
1,9:47:25,12026798,Active,3,1
1,9:48:15,12026801,Active,3,4
1,9:48:30,12026804,Active,3,3
1,9:49:05,12026807,Active,3,2
1,9:50:38,12026810,Active,3,3
1,9:52:55,12026816,Active,3,3
1,9:59:24,12026828,Unconfirmed,3,1
1,10:00:10,12026834,Active,3,1
1,10:04:52,12026837,Active,3,3
1,10:08:01,12026843,Unconfirmed,3,3
1,10:09:10,12026849,Active,3,3
1,10:10:08,12026858,Active,3,4
1,10:12:15,12026864,Active,3,2
1,10:12:58,12026867,Active,3,4
1,10:15:06,12026873,Active,3,3
1,10:15:15,12026876,Active,3,6
1,10:16:36,12026879,Active,3,3
1,10:16:57,12026882,Active,3,5
1,10:17:37,12026885,Active,3,3
1,10:24:22,12026888,Active,3,3
1,10:24:29,12026894,Active,3,5
1,10:27:27,12026903,Active,3,2
1,10:29:55,12026912,Active,3,6
1,10:30:24,12026918,Unconfirmed,3,1
1,10:32:19,12026924,Active,3,3
1,10:32:59,12026927,Active,3,3
1,10:35:10,12026933,Active,3,4
1,10:39:54,12026942,Unconfirmed,3,7
1,10:40:58,12026945,Active,3,1
1,10:42:05,12026951,Active,0,3
1,10:42:56,12026957,Unconfirmed,3,1
1,10:47:33,12026975,Active,3,4
1,10:47:48,12026978,Active,3,4
1,10:48:05,12026981,Active,3,4
1,10:48:13,12026984,Active,3,4
1,10:48:41,12026987,Active,3,3
1,10:49:27,12026990,Active,3,4
1,10:50:56,12026999,Unconfirmed,3,1
1,10:52:43,12027005,Active,3,3
1,10:54:11,12027017,Unconfirmed,3,1
1,10:54:31,12027020,Active,3,4
1,10:55:51,12027029,Active,0,7
1,10:56:42,12027032,Unconfirmed,3,1
1,10:57:46,12027035,Active,3,3
1,10:57:52,12027038,Unconfirmed,3,1
1,11:00:17,12027047,Active,3,7
1,11:00:57,12027050,Active,3,4
1,11:01:17,12027053,Active,3,2
1,11:01:43,12027059,Active,3,4
1,11:02:01,12027062,Active,3,5
1,11:02:03,12027065,Active,3,4
1,11:02:37,12027068,Active,3,4
1,11:02:49,12027071,Active,3,4
1,11:03:38,12027074,Unconfirmed,3,2
1,11:04:33,12027080,Active,0,3
1,11:04:50,12027083,Active,3,2
1,11:05:10,12027089,Active,3,4
1,11:05:22,12027092,Active,3,4
1,11:06:02,12027095,Unconfirmed,3,1
1,11:06:32,12027101,Active,0,3
1,11:07:34,12027107,Active,3,4
1,11:11:08,12027122,Active,3,6
1,11:11:21,12027125,Active,3,1
1,11:12:59,12027134,Active,3,4
1,11:13:06,12027137,Active,3,4
1,11:15:11,12027152,Active,3,1
1,11:15:26,12027155,Unconfirmed,3,1
1,11:17:09,12027161,Active,3,4
1,11:19:41,12027167,Active,3,7
1,11:20:17,12027170,Active,3,4
1,11:21:01,12027173,Active,3,4
1,11:21:52,12027176,Active,3,3
1,11:22:13,12027179,Active,3,4
1,11:24:16,12027185,Active,3,4
1,11:24:44,12027188,Active,0,3
1,11:25:37,12027191,Active,3,2
1,11:27:24,12027194,Active,3,4
1,11:27:57,12027197,Active,3,3
1,11:29:14,12027206,Active,3,4
1,11:30:05,12027212,Active,3,3
1,11:30:49,12027221,Active,3,3
1,11:33:10,12027233,Active,3,3
1,11:34:53,12027239,Active,3,6
1,11:35:00,12027242,Active,3,4
1,11:35:06,12027245,Active,3,3
1,11:35:55,12027248,Active,3,7
1,11:38:46,12027260,Active,3,1
1,11:40:43,12027263,Active,3,3
1,11:41:11,12027266,Active,3,4
1,11:42:19,12027269,Active,3,3
1,11:43:26,12027275,Active,3,4
1,11:43:41,12027278,Active,3,3
1,11:43:57,12027284,Active,3,4
1,11:44:12,12027287,Active,3,4
1,11:44:17,12027290,Active,3,3
1,11:44:24,12027293,Active,3,3
1,11:44:46,12027299,Active,3,4
1,11:45:01,12027302,Active,3,3
1,11:45:04,12027305,Active,3,4
1,11:45:04,12027308,Active,3,5
1,11:45:30,12027317,Active,3,4
1,11:47:58,12027329,Active,3,4
1,11:48:49,12027338,Active,3,3
1,11:49:52,12027344,Active,3,3
1,11:50:36,12027353,Active,3,5
1,11:50:37,12027356,Active,3,3
1,11:50:39,12027359,Unconfirmed,3,1
1,11:50:49,12027362,Active,3,4
1,11:54:50,12027371,Active,3,4
1,11:54:57,12027374,Active,3,4
1,11:55:50,12027380,Active,0,3
1,11:56:08,12027383,Active,3,5
1,11:56:59,12027386,Active,3,2
1,11:58:13,12027389,Active,3,5
1,11:59:48,12027392,Active,3,1
1,12:07:26,12027416,Active,3,3
1,12:07:31,12027419,Active,3,4
1,12:07:50,12027422,Active,3,3
1,12:08:04,12027425,Active,3,4
1,12:08:38,12027428,Active,3,3
1,12:11:38,12027443,Unconfirmed,3,1
1,12:13:12,12027449,Active,3,3
1,12:15:10,12027455,Active,3,3
1,12:15:12,12027458,Unconfirmed,3,1
1,12:15:59,12027461,Unconfirmed,3,1
1,12:19:12,12027473,Active,3,3
1,12:19:35,12027476,Active,3,1
1,12:19:53,12027482,Active,3,3
1,12:20:13,12027491,Active,3,4
1,12:20:20,12027494,Active,3,3
1,12:23:13,12027497,Active,3,4
1,12:27:57,12027515,Active,3,5
1,12:27:57,12027518,Active,3,6
1,12:29:46,12027524,Active,3,3
1,12:30:03,12027527,Active,3,4
1,12:30:14,12027530,Active,3,4
1,12:30:21,12027536,Active,3,4
1,12:30:26,12027539,Unconfirmed,3,1
1,12:31:30,12027545,Active,3,4
1,12:32:47,12027554,Active,3,1
1,12:33:36,12027560,Active,3,4
1,12:36:58,12027566,Unconfirmed,3,1
1,12:37:45,12027569,Active,3,4
1,12:38:14,12027572,Active,3,4
1,12:38:39,12027578,Active,3,6
1,12:40:35,12027584,Active,3,4
1,12:41:03,12027593,Unconfirmed,3,1
1,12:41:34,12027599,Unconfirmed,3,1
1,12:42:27,12027602,Unconfirmed,3,1
1,12:42:38,12027605,Active,3,4
1,12:43:54,12027617,Active,3,2
1,12:47:17,12027629,Active,3,3
1,12:48:07,12027632,Active,0,3
1,12:48:09,12027635,Active,3,4
1,12:48:41,12027638,Active,3,4
1,12:50:33,12027647,Unconfirmed,3,1
1,12:54:59,12027671,Active,3,1
1,12:55:03,12027674,Active,3,3
1,12:56:01,12027683,Active,3,5
1,12:59:35,12027698,Active,0,4
1,13:06:21,12027734,Active,2,3
1,13:16:58,12027803,Active,3,7
1,13:18:21,12027809,Active,3,4
1,13:18:22,12027812,Active,3,3
1,13:20:17,12027821,Active,3,3
1,13:20:17,12027824,Unconfirmed,3,1
1,13:21:56,12027827,Active,3,4
1,13:22:02,12027830,Active,3,4
1,13:22:09,12027836,Active,3,4
1,13:24:31,12027839,Active,3,7
1,13:24:35,12027842,Unconfirmed,3,1
1,13:25:59,12027851,Active,3,4
1,13:28:25,12027857,Active,3,1
1,13:30:10,12027866,Active,3,4
1,13:32:36,12027872,Active,3,2
1,13:34:36,12027875,Active,3,4
1,13:34:44,12027878,Active,3,4
1,13:35:26,12027881,Active,0,3
1,13:35:58,12027884,Active,3,4
1,13:41:39,12027893,Active,3,2
1,13:42:35,12027899,Active,3,2
1,13:43:52,12027905,Active,3,4
1,13:45:18,12027908,Active,3,4
1,13:46:23,12027917,Active,3,4
1,13:47:12,12027923,Active,3,4
1,13:47:37,12027926,Unconfirmed,3,1
1,13:48:06,12027929,Active,3,4
1,13:48:07,12027932,Active,3,4
1,13:48:17,12027935,Active,3,4
1,13:48:46,12027941,Active,3,3
1,13:49:23,12027950,Active,0,5
1,13:49:32,12027953,Active,3,5
1,13:51:43,12027959,Active,3,3
